username,visited,nomadlist_recommends
@dj0ling,"['Willemstad,  Curaçao', 'Amsterdam,  Netherlands', 'Bangkok,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary']"
@krystian,"['Pattaya,  Thailand', 'Bangkok,  Thailand', 'Tenerife, Canary Islands,  Spain', 'Ko Phi Phi,  Thailand', 'Chiang Mai,  Thailand', 'Bangkok,  Thailand', 'Reykjavik,  Iceland', 'Ko Phi Phi,  Thailand', 'Phuket,  Thailand', 'Chiang Mai,  Thailand', 'Madrid,  Spain', 'Bangkok,  Thailand', 'Alicante,  Spain', 'Ko Samui,  Thailand', 'Pattaya,  Thailand', 'Chiang Mai,  Thailand']","['Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@yuko,"['Mombasa,  Kenya', 'Nairobi,  Kenya', 'Berlin,  Germany', 'Bamberg,  Germany', 'Berlin,  Germany', 'Saitama,  Japan', 'Osaka,  Japan', 'Saitama,  Japan', 'Łagów,  Poland', 'Berlin,  Germany', 'Bamberg,  Germany', 'Berlin,  Germany', 'Istanbul Sabiha Gökçen International Airport,  Turkey', 'Antalya,  Turkey', 'Berlin,  Germany', 'Athens,  Greece']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Hong  Kong, Vietnam']"
@arthurfd,"['Florianopolis,  Brazil', 'São Paulo,  Brazil', 'Cabarete,  Dominican Republic', 'Las Terrenas,  Dominican Republic', 'La Libertad,  El Salvador', 'Madrid,  Spain', 'Warsaw,  Poland', 'Petra,  Jordan', 'Dahab,  Egypt', 'Cairo,  Egypt', 'Dahab,  Egypt', 'Tel Aviv,  Israel', 'Antalya,  Turkey', 'Istanbul,  Turkey', 'Tirana,  Albania', 'Ksamil,  Albania']","['Buenos  Aires, Argentina', 'Medellín, Colombia', 'Kuala  Lumpur, Malaysia', 'Kraków, Poland', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany']"
@mouradmouhrich,"['Bangkok,  Thailand', 'Bangkok,  Thailand', 'Bangkok,  Thailand', 'Bangkok,  Thailand']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Canggu, Indonesia', 'Tokyo, Japan', 'Hong  Kong, Germany']"
@forestrussell,"['Kansai International Airport,  Japan', 'Gloucestershire,  United Kingdom', 'Daegu,  South Korea', 'Bucheon-si,  South Korea', 'Cheongju-si,  South Korea', 'Forest of Dean,  United Kingdom', 'Tokyo,  Japan', 'Kyoto,  Japan', 'Forest of Dean,  United Kingdom', 'Windermere,  United Kingdom', 'Plymouth,  United Kingdom', 'Split,  Croatia', 'Dubrovnik,  Croatia', 'Zagreb,  Croatia', 'Ljubljana,  Slovenia', 'Budapest,  Hungary']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Mexico  City, Mexico', 'Athens, Greece', 'Munich, Germany', 'Madrid, Spain', 'Porto, Portugal']"
@joytravels,"['Amsterdam,  Netherlands', 'Ubud, Bali,  Indonesia', 'Komodo Island,  Indonesia', 'Canggu, Bali,  Indonesia']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@isservan,"['Tulum,  Mexico', 'Playa del Carmen,  Mexico', 'Miami, FL,  United States', 'New Orleans, LA,  United States', 'New York City, NY,  United States', 'Cádiz,  Spain', 'Cape Town,  South Africa', 'Barcelona,  Spain', 'Nassau,  The Bahamas', 'Miami, FL,  United States', 'Lanzarote, Canary Islands,  Spain', 'Sofia,  Bulgaria', 'Cádiz,  Spain', 'Barcelona,  Spain', 'Ibiza,  Spain', 'Kotor,  Montenegro']","['Chiang  Mai, Thailand', 'Lisbon, Portugal', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands']"
@catavizek,"['San José,  Costa Rica', 'Tulum,  Mexico', 'Miami, FL,  United States', 'San Diego, CA,  United States', 'Grand Canyon National Park Airport,  United States', 'Yosemite National Park,  United States', 'Vancouver,  Canada', 'Anchorage, AK,  United States', 'Toronto,  Canada', 'Montreal,  Canada', 'New York City, NY,  United States', 'Miami, FL,  United States', 'Santiago,  Chile', 'Concón,  Chile', 'Santiago,  Chile']","['Bangkok, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Tokyo, Japan', 'Budapest, Hungary']"
@petr_suska,"['Šumperk,  Czechia', 'Canggu, Bali,  Indonesia', 'Dubai,  United Arab Emirates', 'Canggu, Bali,  Indonesia', 'Ericeira,  Portugal', 'Lisbon,  Portugal', 'Lisbon,  Portugal', 'Athens,  Greece', 'Prague,  Czechia', 'Canggu, Bali,  Indonesia', 'Prague,  Czechia', 'Los Angeles, CA,  United States', 'Prague,  Czechia', 'Canggu, Bali,  Indonesia', 'Prague,  Czechia', 'Mallorca,  Spain']","['Tokyo, Japan', 'Hong  Kong, Germany', 'Berlin, Netherlands', 'Amsterdam, Spain', 'Madrid, Portugal', 'Porto, Turkey', 'Istanbul, Thailand']"
@jzhang,"['Lisbon,  Portugal', 'Herceg Novi,  Montenegro', 'Dubrovnik,  Croatia', 'Kotor,  Montenegro', 'Split,  Croatia', 'Kraków,  Poland', 'Warsaw,  Poland', 'Wrocław,  Poland', 'Poznan,  Poland', 'Hamburg,  Germany']","['Bangkok, Thailand', 'Barcelona, Spain', 'Athens, Greece', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain']"
@krsjoseph,"['Canggu, Bali,  Indonesia', 'Jaisalmer,  India', 'Mumbai,  India', 'Chiang Mai,  Thailand', 'Penang,  Malaysia', 'Singapore,  Singapore', 'Canggu, Bali,  Indonesia', 'Kuala Lumpur,  Malaysia', 'Frankfurt,  Germany']","['Bangkok, Thailand', 'Lisbon, Portugal', 'Barcelona, Spain', 'Tokyo, Japan', 'Hong  Kong, Hungary', 'Budapest, Germany', 'Berlin, Netherlands']"
@filip_gregor,"['Prague,  Czechia', 'Gothenburg,  Sweden', 'Stockholm,  Sweden', 'Prague,  Czechia', 'McLeod Ganj,  India', 'Mysore,  India', 'Puducherry,  India', 'Chennai,  India', 'Kovalam Beach,  India', 'Kochi,  India', 'Kuttampuzha,  India', 'Munnar,  India', 'Kochi,  India', 'Nattika,  India', 'Matheran,  India', 'Mumbai,  India']","['Bangkok, Thailand', 'Chiang  Mai, Thailand', 'Buenos  Aires, Argentina', 'Medellín, Colombia', 'Lisbon, Portugal', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany']"
@charleswilliams,"['Key West, FL,  United States', 'Miami, FL,  United States', 'Macon, GA,  United States', 'Chattanooga, TN,  United States', 'Asheville, NC,  United States', 'Gatlinburg,  United States', 'Great Smoky Mountains National Park,  United States', 'Nashville, TN,  United States', 'Hot Springs,  United States', 'Broken Bow,  United States', 'Eunice,  United States', 'Pottsboro,  United States', 'Big Bear Lake,  United States', 'San Diego, CA,  United States', 'Kauai, Hawaii,  United States', 'San Diego, CA,  United States']","['Lisbon, Portugal', 'Kuala  Lumpur, Malaysia', 'Barcelona, Spain', 'Mexico  City, Mexico', 'Canggu, Indonesia', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia']"
@renanfelix,"['Lisbon,  Portugal']","['Bangkok, Thailand', 'Barcelona, Spain', 'Budapest, Hungary', 'Berlin, Germany', 'Prague, Czechia', 'Amsterdam, Netherlands', 'Madrid, Spain', 'Porto, Portugal']"
